pname,pdesc,Upc,Sku,Price,Uom,Pack,pcat,pcat1,pcat2,country,region
HIGH NOON - BLACK CHERRY                                    ,HIGH NOON - BLACK CHERRY,085000429273   ,11945,10.99,12 OZ,1,RTD COCKTAILS            , , , , 
BAREFOOT SPRITZER - ROSE                                    ,BAREFOOT SPRITZER - ROSE,085000431283   ,11946,7.99,250ML,1,FAMILY WINE              , , , , 
HIGH NOON - PEACH                                           ,HIGH NOON - PEACH,085000431375   ,11947,10.99,12 OZ,1,RTD COCKTAILS            , , , , 
HIGH NOON - MANGO                                           ,HIGH NOON - MANGO,085000432327   ,11948,10.99,12 OZ,1,RTD COCKTAILS            , , , , 
HIGH NOON - LEMON                                           ,HIGH NOON - LEMON,085000434260   ,11949,10.99,12 OZ,1,RTD COCKTAILS            , , , , 
SUTTER HOME CHARDONNAY                                      ,SUTTER HOME CHARDONNAY,08502625       ,11951,7.49,750 M,1,FAMILY WINE              , , , , 
SUTTER HOME MERLOT                                          ,SUTTER HOME MERLOT,08505428       ,11952,10.97,1.5 L,1,FAMILY WINE              , , , , 
SUTTER HOME CABERNET                                        ,SUTTER HOME CABERNET,08505525       ,11953,10.97,1.5 L,1,FAMILY WINE              , , , , 
SUTTER HOME CHARDONNAY                                      ,SUTTER HOME CHARDONNAY,08505622       ,11954,10.97,1.5 L,1,FAMILY WINE              , , , , 
SUTTER HOME WHITE ZINFANDEL                                 ,SUTTER HOME WHITE ZINFANDEL,08505923       ,11955,10.97,1.5 L,1,FAMILY WINE              , , , , 
SUTTER HOME PINOT GRIGIO                                    ,SUTTER HOME PINOT GRIGIO,08506825       ,11956,10.97,1.5 L,1,FAMILY WINE              , , , , 
SUTTER HOME SWEET RED                                       ,SUTTER HOME SWEET RED,08507523       ,11957,7.49,750 M,1,FAMILY WINE              , , , , 
SUTTER HOME SWEET RED                                       ,SUTTER HOME SWEET RED,08507620       ,11958,10.97,1.5 L,1,FAMILY WINE              , , , , 
SUTTER HOME PINK MOSCATO                                    ,SUTTER HOME PINK MOSCATO,08509628       ,11959,7.49,750 M,1,FAMILY WINE              , , , , 
SUTTER HOME PINK MOSCATO                                    ,SUTTER HOME PINK MOSCATO,08509822       ,11960,10.97,1.5 L,1,FAMILY WINE              , , , , 
FRE - CHARD ALCOHOL REMOVED                                 ,FRE - CHARD ALCOHOL REMOVED,08510129       ,11961,10.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
FRE BRUT NON ALCOHOL                                        ,FRE BRUT NON ALCOHOL,08510527       ,11963,10.99,750 M,1,CHAMPAGNE                , , , , 
ETOILE BRUT                                                 ,ETOILE BRUT,085155000044   ,11965,29.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
SMOKE TREE CHARDONNAY                                       ,SMOKE TREE CHARDONNAY,085155273424   ,11966,7.99,750 M,1,DOMESTIC - CALIFORNIA    , , , , 
KETEL ONE CITROEN                                           ,KETEL ONE CITROEN,085156007509   ,11968,24.99,750 M,1,VODKA                    , , , , 
KETEL ONE CITRON                                            ,KETEL ONE CITRON,085156017508   ,11969,34.99,1.75 ,1,VODKA                    , , , , 
KETEL ONE VODKA                                             ,KETEL ONE VODKA,085156122158   ,11970,12.99,375 M,1,PINTS                    , , , , 
KETEL ONE ORANGE                                            ,KETEL ONE ORANGE,085156417001   ,11971,34.99,1.75 ,1,VODKA                    , , , , 
KETEL ONE ORANGE                                            ,KETEL ONE ORANGE,085156475001   ,11972,24.99,750 M,1,VODKA                    , , , , 
KETEL ONE VODKA                                             ,KETEL ONE VODKA,085156515417   ,11973,22.99,750 M,1,VODKA                    , , , , 
KETEL ONE BOTANICAL - PEACH                                 ,KETEL ONE BOTANICAL - PEACH,085156675005   ,11974,21.99,750 M,1,VODKA                    , , , , 
KETEL ONE BOTANICAL - GRAPEFRUIT ROSE                       ,KETEL ONE BOTANICAL - GRAPEFRUIT ROSE,085156775002   ,11975,21.99,750 M,1,VODKA                    , , , , 
KETEL ONE VODKA                                             ,KETEL ONE VODKA,085156803682   ,11976,32.99,1.75 ,1,VODKA                    , , , , 
KETEL ONE BOTANICAL - CUCUMBER                              ,KETEL ONE BOTANICAL - CUCUMBER,085156875009   ,11977,19.99,750 M,1,VODKA                    , , , , 
SUTTER HOME - LEMONADE                                      ,SUTTER HOME - LEMONADE,085200023332   ,11988,7.99,187 M,1,PRE MIXED DRINKS         , , , , 
SUTTER HOME - PEACH TEA                                     ,SUTTER HOME - PEACH TEA,085200023370   ,11989,7.99,187 M,1,PRE MIXED DRINKS         , , , , 
AMADOR BOURBON                                              ,AMADOR BOURBON,085200027972   ,11991,39.99,750 M,1,BOURBON WHISKEY          , , , , 
SUTTER HOME ROSE                                            ,SUTTER HOME ROSE,085200104482   ,11992,7.99,187 M,1,FAMILY WINE              , , , , 
SUTTER HOME PINOT GRIGIO                                    ,SUTTER HOME PINOT GRIGIO,085200118755   ,11993,7.99,187 M,1,FAMILY WINE              , , , , 
SUTTER HOME MERLOT                                          ,SUTTER HOME MERLOT,085200218745   ,11995,7.99,187 M,1,FAMILY WINE              , , , , 
SUTTER HOME CABERNET                                        ,SUTTER HOME CABERNET,085200518746   ,11996,7.99,187 M,1,FAMILY WINE              , , , , 
SUTTER HOME CHARDONNAY                                      ,SUTTER HOME CHARDONNAY,085200618743   ,11997,7.99,187 M,1,FAMILY WINE              , , , , 
SUTTER HOME SAUVIGNON BLANC                                 ,SUTTER HOME SAUVIGNON BLANC,085200718740   ,11998,7.99,187 M,1,FAMILY WINE              , , , , 
SUTTER HOME WHITE ZINFANDEL                                 ,SUTTER HOME WHITE ZINFANDEL,085200918744   ,11999,7.99,187 M,1,FAMILY WINE              , , , , 
SUTTER HOME MOSCATO                                         ,SUTTER HOME MOSCATO,085200918751   ,12000,7.99,187 M,1,FAMILY WINE              , , , , 
SUTTER HOME SWEET RED                                       ,SUTTER HOME SWEET RED,085200918768   ,12001,7.99,187 M,1,FAMILY WINE              , , , , 
CARLO ROSSI - SWEET ROSE                                    ,CARLO ROSSI - SWEET ROSE,08521602       ,12002,17.99,4 LT ,1,DOMESTIC - CALIFORNIA    , , , , 
