StoreId,Upc,Qty,Sku,Uom,Pack,StoreProductName,StoreDescription,Price,Sprice,Start,End,Tax,TaxLevel,Altupc1,Altupc2,Altupc3,Altupc4,Altupc5,Vintage,Cost,Deposit
10128,#040063400317   ,3,#15469,750 M,1,FOUR ROSES - SMALL BATCH                                    ,FOUR ROSES - SMALL BATCH,39.990,0.0000, , ,0.04000,1, , , , , ,,146.27,0
10128,#018200200908   ,5,#15470,12 OZ,24,BUD LIGHT - ORANGE CN                                       ,BUD LIGHT - ORANGE CN,16.990,0.0000, , ,0.04000,1, , , , , ,,24.7,1.20
10128,#097985225009   ,11,#15471,750 M,1,LUSTAU - LIGHT FINO JARANA                                  ,LUSTAU - LIGHT FINO JARANA,19.990,0.0000, , ,0.04000,1, , , , , ,,132,0
10128,#089475501014   ,26,#15472,750 M,1,ZACCAGNINI - MONTEPULCIANO                                  ,ZACCAGNINI - MONTEPULCIANO,24.990,0.0000, , ,0.04000,1, , , , , ,,114.59,0
10128,#087692000044   ,0,#15477,12 OZ,24,SAM ADAMS - PORCH ROCKER BTL 6 PK HLDR                      ,SAM ADAMS - PORCH ROCKER BTL 6 PK HLDR,11.690,0.0000, , ,0.04000,1, , , , , ,,35.5,1.20
10128,#087872633123   ,20,#15479,8 oz ,1,STELLA ROSA - BLACK                                         ,STELLA ROSA - BLACK,19.990,0.0000, , ,0.04000,1, , , , , ,,88,0
10128,#085246501771   ,6,#15481,375 M,1,MAKER'S MARK - PRIV SELECT + CASK STR 2PK                   ,MAKER'S MARK - PRIV SELECT + CASK STR 2PK,69.990,0.0000, , ,0.04000,1, , , , , ,,299.99,0
10128,#724624001020   ,2,#15484,750 M,1,J VINYARD - SPARKLING                                       ,J VINYARD - SPARKLING,26.990,0.0000, , ,0.04000,1, , , , , ,,204,0
10128,#089541300893   ,6,#15490,750 M,1,GROTH - OAKVILLE NAPA - CABERNET SAUVIGNON                  ,GROTH - OAKVILLE NAPA - CABERNET SAUVIGNON,89.990,0.0000, , ,0.04000,1, , , , , ,,662.4,0
10128,#086785420127   ,5,#15491,750 M,1,CHATEAU GREYSAC - MEDOC                                     ,CHATEAU GREYSAC - MEDOC,39.990,0.0000, , ,0.04000,1, , , , , ,,250.4,0
10128,#675796037501   ,5,#15504,750ml,1,SEA FOG - AMERICAL SINGLE MALT WHISKEY                      ,SEA FOG - AMERICAL SINGLE MALT WHISKEY,54.990,0.0000, , ,0.04000,1, , , , , ,,224.95,0
10128,#675796097505   ,3,#15505,750ml,1,SEA FOG - STRAIGHT RYE WHISKEY                              ,SEA FOG - STRAIGHT RYE WHISKEY,59.990,0.0000, , ,0.04000,1, , , , , ,,251.99,0
10128,#764793230005   ,9,#15510,750 M,1,MANDRIOLA DE LISBOA - VINHO TINTO                           ,MANDRIOLA DE LISBOA - VINHO TINTO,9.990,0.0000, , ,0.04000,1, , , , , ,,72,0
10128,#764793230067   ,17,#15511,750 M,1,MANDRIOLA DE LISBOA - VINHO BRANCO                          ,MANDRIOLA DE LISBOA - VINHO BRANCO,9.990,0.0000, , ,0.04000,1, , , , , ,,36,0
10128,#855622000118   ,2,#15514,750 M,1,BELLE GLOS - PINOT NOIR - CLARK & TELEPHONE                 ,BELLE GLOS - PINOT NOIR - CLARK & TELEPHONE,59.990,0.0000, , ,0.04000,1, , , , , ,2020,199.98,0
10128,#855622000811   ,2,#15515,750 M,1,BELLE GLOS - PINOT NOIR - DAIRYMAN                          ,BELLE GLOS - PINOT NOIR - DAIRYMAN,59.990,0.0000, , ,0.04000,1, , , , , ,2021,199.98,0
10128,#899055002011   ,2,#15516,750 M,1,EN ROUTE - PINOT NOIR - RUSSIAN RIVER VALLY                 ,EN ROUTE - PINOT NOIR - RUSSIAN RIVER VALLY,69.990,0.0000, , ,0.04000,1, , , , , ,2021,240,0
10128,#008261110193   ,4,#15517,750 M,1,CLIFF LEDE - CABERNET SAUVIGNON - NAPA VALLEY               ,CLIFF LEDE - CABERNET SAUVIGNON - NAPA VALLEY,99.990,0.0000, , ,0.04000,1, , , , , ,2021,331.98,0
10128,#669576019528   ,1,#15518,750 M,1,GOLDENEYE - PINOT NOIR - ANDERSON VALLY                     ,GOLDENEYE - PINOT NOIR - ANDERSON VALLY,59.990,0.0000, , ,0.04000,1, , , , , ,2021,199.98,0
10128,#097921871307   ,4,#15519,750 M,1,ROMBAUER - MERLOT - NAPA VALLEY                             ,ROMBAUER - MERLOT - NAPA VALLEY,59.990,0.0000, , ,0.04000,1, , , , , ,2019,204,0
10128,#097921978105   ,4,#15520,750 M,1,ROMBAUER - ZINFANDEL                                        ,ROMBAUER - ZINFANDEL,44.990,0.0000, , ,0.04000,1, , , , , ,2019,160.02,0
10128,#896136001826   ,3,#15522,750 M,1,INGLENOOK 1882 - CABERNET SAUVIGNON - NAPA VALLEY           ,INGLENOOK 1882 - CABERNET SAUVIGNON - NAPA VALLEY,99.990,0.0000, , ,0.04000,1, , , , , ,2021,360,0
