StoreId,Upc,Qty,Sku,Uom,Pack,StoreProductName,StoreDescription,Price,Sprice,Start,End,Tax,Altupc1,Altupc2,Altupc3,Altupc4,Altupc5,Vintage,Cost,Deposit,Discountable
10128,#080480987688   ,36,#15988,12 oz,1,BACARDI RTD CN - SUNSET PUNCH                               ,BACARDI RTD CN - SUNSET PUNCH,13.99,0.0000, , ,0.0625, , , , , ,,58.14,1.20,0
10128,#850018597005   ,8,#15989,12 OZ,1,CT VALLY BREW - SPIKED SMOOTHIE STRAW LEMONADE              ,CT VALLY BREW - SPIKED SMOOTHIE STRAW LEMONADE,19.99,0.0000, , ,0.0625, , , , , ,,75.5,1.20,1
10128,#719973994208   ,3,#15990,750 M,1,BRINLEY GOLD SHIPSRECK - COCONUT CREAM RUM                  ,BRINLEY GOLD SHIPSRECK - COCONUT CREAM RUM,29.99,0.0000, , ,0.0625, , , , , ,,136,0,0
10128,#635985802013   ,15,#15991,19.2 ,1,WHITE CLAW SURGE - BLACKBERRY                               ,WHITE CLAW SURGE - BLACKBERRY,3.5,0.0000, , ,0.0625, , , , , ,,28,0.60,0
10128,#635985802051   ,1,#15992,19.2 ,1,WHITE CLAW - WATERMELON                                     ,WHITE CLAW - WATERMELON,3.45,0.0000, , ,0.0625, , , , , ,,28,0.60,0
10128,#080480025304   ,22,#15993,1 L  ,1,BACARDI GOLD                                                ,BACARDI GOLD,14.99,0.0000, , ,0.0625, , , , , ,,131.88,0,0
10128,#787790083986   ,29,#15994,20 oz,1,NSB - SUPER SANTILLI IPA                                    ,NSB - SUPER SANTILLI IPA,4.45,0.0000, , ,0.0625, , , , , ,,42,0.75,0
10128,#016600001422   ,10,#15995,12 OZ,1,ROSE'S SIMPLE SYRUP                                         ,ROSE'S SIMPLE SYRUP,4.99,0.0000, , ,0.0625, , , , , ,,1.36,0,0
10128,#070655001707   ,0,#15996,1 LT ,1,MR & MRS T - PINEAPPLE MARGARITA MIX                        ,MR & MRS T - PINEAPPLE MARGARITA MIX,6.99,0.0000, , ,0.0625, , , , , ,,25.5,0,0
10128,#088004055622   ,0,#15997,750 M,1,PAUL MASSON - WATERMELON                                    ,PAUL MASSON - WATERMELON,13.99,0.0000, , ,0.0625, , , , , ,,0.0000,0,0
10128,#810054111566   ,4,#15998,12 OZ,1,BESIDES BY ML - CHERRY LIME RICKEY                          ,BESIDES BY ML - CHERRY LIME RICKEY,12.99,0.0000, , ,0.0625, , , , , ,,54,1.20,0
